Transaction ID,Payer Name,Receiver Name,Transaction Details,Amount,Receiver Country
TXN-2025-076,"PepsiCo, Inc.",Toyota Motor Corporation,We have observed indicators of money laundering linked to this transfer.,10000,Algeria
TXN-2025-077,"KAVE, S.A.",EDICIONES CUBANAS,There is a possibility of arms trafficking associated with the involved entities.,10000,Namibia
TXN-2025-078,CUBAFRUTAS,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,Our analysts have highlighted possible terrorist financing connections within this transaction.,10000,Myanmar
TXN-2025-079,"CIMEX, S.A.","LEVERAGE, S.A.",The transaction exhibits characteristics consistent with identity theft activities.,10000,Monaco
TXN-2025-080,COMERCIALIZACION DE PRODUCTOS VARIOS,Apple Inc.,This transaction has been flagged due to potential tax evasion concerns.,10000,Mali
TXN-2025-081,"ANGLO-CARIBBEAN CO., LTD.",EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,This transaction has been flagged due to potential money mule concerns.,10000,Argentina
TXN-2025-082,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,CUBACANCUN CIGARS AND GIFT SHOPS,We have observed indicators of sanctioned linked to this transfer.,10000,Colombia
TXN-2025-083,"ETCO INTERNATIONAL COMPANY, LIMITED",HAVIN BANK LIMITED,Our compliance team has noted signs of misappropriation during the transaction review.,10000,Netherlands
TXN-2025-084,CIMEX IBERICA,Microsoft Corporation,"This transfer raises potential risks of conflict of interest, necessitating further investigation.",10000,Croatia
TXN-2025-085,BANCO NACIONAL DE CUBA,CUBAEXPORT,"This transfer raises potential risks of sanctioned, necessitating further investigation.",10000,South Africa
TXN-2025-086,HAVANATUR,3M Company,There is a possibility of sanctions evasion associated with the involved entities.,10000,Mali
TXN-2025-087,Siemens AG,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,The transaction exhibits characteristics consistent with insider trading activities.,10000,Kenya
TXN-2025-088,LA EMPRESA CUBANA DE FLETES,PRENSA LATINA,This transaction has been flagged due to potential false accounting concerns.,10000,Kenya
TXN-2025-089,"ETCO INTERNATIONAL COMPANY, LIMITED",ETCO INTERNATIONAL COMMODITIES LTD.,There is a possibility of black market associated with the involved entities.,10000,Democratic Republic of Congo
TXN-2025-090,"TROBER, S.A.",CUBATABACO,Our compliance team has noted signs of insider trading during the transaction review.,10000,South Sudan
TXN-2025-091,"CUMEXINT, S.A.",CIMEX,We have observed indicators of counterfeit goods linked to this transfer.,10000,Haiti
TXN-2025-092,CUBAFRUTAS,NORDSTRAND LTD.,This transaction has been flagged due to potential front company concerns.,10000,Belgium
TXN-2025-093,HAVANATUR,"PepsiCo, Inc.",There is a possibility of tax haven associated with the involved entities.,10000,Cuba
TXN-2025-094,BOUTIQUE LA MAISON,Mastercard Incorporated,Our compliance team has noted signs of trade diversion during the transaction review.,10000,Lebanon
TXN-2025-095,"KAVE, S.A.",Pfizer Inc.,This transaction has been flagged due to potential false accounting concerns.,10000,Jordan
TXN-2025-096,Siemens AG,Sony Group Corporation,We have observed indicators of money laundering linked to this transfer.,10000,Myanmar
TXN-2025-097,CUBAFRUTAS,"COMERCIAL CIMEX, S.A.",Our analysts have highlighted possible terrorism financing connections within this transaction.,10000,Algeria
TXN-2025-098,Johnson & Johnson,Microsoft Corporation,We have observed indicators of money laundering linked to this transfer.,10000,Haiti
TXN-2025-099,Procter & Gamble Co.,NORDSTRAND MARITIME AND TRADING COMPANY,Our compliance team has noted signs of underground banking during the transaction review.,10000,South Sudan
TXN-2025-100,McDonald's Corporation,Procter & Gamble Co.,We have observed indicators of money laundering linked to this transfer.,10000,Algeria
